time_step,SantaFe_amplitude,NARMA10_target,Lorenz63_x,Lorenz63_y,Lorenz63_z
1,86,0.15579153,-0.90770825,-2.15327483,19.43956859
2,141,0.24302731,-1.48429586,-2.62702889,17.14769826
3,95,0.17325453,-2.11062212,-3.53710668,15.26567807
4,41,0.13888003,-2.96586085,-5.02473881,13.86596424
5,22,0.42038958,-4.23238981,-7.31295862,13.16942929
6,21,0.5814599,-6.11442699,-10.62464282,13.69403076
7,32,0.36448868,-8.76624453,-14.81739902,16.4410554
8,72,0.25679562,-11.98467184,-18.43848377,22.62478825
9,138,0.17377813,-14.62564678,-18.05269629,31.58538831
10,111,0.2388794,-14.76980501,-11.7589774,38.27865453
11,48,0.29910955,-11.88340802,-4.03768741,38.4066504
12,23,0.16933193,-7.74906491,0.29894018,34.36070125
13,19,0.2102011,-4.25572122,1.50291037,29.78827318
14,27,0.1473833,-1.98712486,1.4296111,25.85726143
15,59,0.5867631,-0.70792746,1.13890992,22.55243075
16,129,0.30610742,-0.02282481,0.9827632,19.72115816
17,129,0.31719158,0.37455466,1.02967329,17.26857725
18,58,0.20108246,0.67932565,1.2888938,15.14185107
19,27,0.33809479,1.01740205,1.79653172,13.31278905
20,19,0.31981738,1.49145384,2.64926097,11.78063294
21,24,0.1824828,2.219099,4.02864668,10.59787601
22,46,0.45083218,3.36572728,6.2245302,9.9403982
23,112,0.29524214,5.16718523,9.61372673,10.27383416
24,144,0.60771621,7.89457226,14.3943152,12.66764966
25,73,0.43061126,11.58266379,19.53583169,18.94473539
26,30,0.41249352,15.22804623,20.95722785,29.78342034
27,20,0.4193729,16.27121283,14.20279627,39.67115119
28,19,0.20723014,13.22084093,3.9393578,41.01043717
29,37,0.20754058,8.13593803,-1.98161848,36.22155412
30,92,0.14658483,3.73188118,-3.52501533,30.91441048
31,152,0.29171481,0.86813359,-3.4778879,26.69918118
32,93,0.32188316,-0.80167964,-3.34069163,23.37565105
33,36,0.29006266,-1.8356365,-3.59024584,20.67789621
34,20,0.55077299,-2.66897411,-4.35584018,18.51678169
35,18,0.32378059,-3.6011493,-5.72315619,16.94278895
36,29,0.29060251,-4.85421819,-7.80974366,16.16300862
37,71,0.24372389,-6.60417139,-10.68201064,16.62574043
38,146,0.16651752,-8.92080136,-14.03521562,19.07356609
39,117,0.25752373,-11.53711794,-16.58252719,24.15937231
40,46,0.15740188,-13.52667682,-15.97947579,30.98487655
41,23,0.41465167,-13.58754118,-11.28290476,36.01556145
42,18,0.35696572,-11.40661886,-5.44188167,36.41472403
43,22,0.24603656,-8.18831037,-1.75906726,33.43677877
44,52,0.1385707,-5.32770176,-0.49161128,29.57538856
45,128,0.32621335,-3.40157697,-0.49748439,25.96999205
46,142,0.39226037,-2.35080903,-0.95946057,22.81997469
47,62,0.30082912,-1.93300578,-1.58048299,20.09447793
48,26,0.48917593,-1.95327858,-2.35247533,17.761449
49,17,0.18850075,-2.32174802,-3.39810215,15.82849401
50,19,0.31480686,-3.04893661,-4.91400836,14.37074449
51,37,0.20080067,-4.23137527,-7.15278192,13.59918061
52,100,0.32344245,-6.02843545,-10.35019573,13.99909078
53,158,0.24201834,-8.57545004,-14.40253592,16.5041744
54,86,0.28611643,-11.69489905,-18.01316941,22.27558194
55,32,0.17021665,-14.34904004,-17.99992649,30.8570412
56,17,0.2564139,-14.70924867,-12.28134301,37.68492756
57,17,0.27837218,-12.10223228,-4.7192957,38.32098387
58,27,0.267974,-8.1118521,-0.18206825,34.58605033
59,72,0.31521785,-4.62345706,1.20011701,30.0797588
60,154,0.31348325,-2.31331223,1.18457804,26.12967846
61,118,0.36527121,-1.00547389,0.8678474,22.79084353
62,43,0.19736904,-0.32537163,0.63155105,19.92400243
63,20,0.32206129,0.0266864,0.54654391,17.43342442
64,15,0.27689628,0.23780193,0.60225995,15.26105668
65,21,0.28790385,0.41680582,0.79392376,13.36681762
66,47,0.35113172,0.63443459,1.15021149,11.72208014
67,128,0.36141575,0.95445216,1.74671939,10.31230246
68,150,0.35866056,1.45853759,2.72489595,9.15024369
69,63,0.36285456,2.27137788,4.32317141,8.31305379
70,24,0.16631727,3.58956426,6.91041756,8.03996578
71,16,0.14638481,5.70165484,10.9456245,8.96923577
72,17,0.13384138,8.91797742,16.53813004,12.57118586
73,33,0.39554597,13.12399767,21.80027687,21.12119914
74,92,0.26950507,16.63791823,20.86893279,34.09288051
75,166,0.3615028,16.29597333,10.65591794,42.56527544
76,95,0.45673942,11.7003372,0.21862688,40.65725277
77,33,0.25506378,6.08995037,-4.0813118,34.66450139
78,16,0.26441933,1.89116751,-4.70832636,29.53884681
79,14,0.25771438,-0.66281167,-4.5099541,25.74902991
80,22,0.17845882,-2.17324351,-4.58381969,22.85138191
81,58,0.13671731,-3.23345324,-5.21303883,20.62334511
82,149,0.23113487,-4.25642569,-6.46610907,19.07185916
83,137,0.17562601,-5.50981113,-8.37410222,18.38510651
84,50,0.4394772,-7.15242959,-10.86898959,18.94731328
85,20,0.55683039,-9.18772073,-13.51660887,21.28512084
86,15,0.33641727,-11.30000732,-15.16055503,25.62640735
87,16,0.41246561,-12.71586104,-14.21195872,30.89212796
88,35,0.50990494,-12.56271732,-10.4355724,34.48286736
89,106,0.22646376,-10.75886893,-6.00147444,34.66365151
90,169,0.29592356,-8.20541589,-3.09489906,32.29281989
91,82,0.28864206,-5.91241757,-1.99953695,29.05981846
92,28,0.32005327,-4.35238607,-2.02025335,25.89257585
93,15,0.60382229,-3.5437994,-2.58717602,23.07267208
94,14,0.36453249,-3.34888184,-3.48219921,20.67215064
95,23,0.21400628,-3.65310126,-4.72258659,18.75550507
96,65,0.24690296,-4.42159737,-6.43918162,17.46119321
97,160,0.3357813,-5.69153197,-8.77622647,17.07666819
98,133,0.33711772,-7.51640825,-11.71633047,18.11979283
99,45,0.57170362,-9.82178989,-14.69585243,21.27448178
100,18,0.20474057,-12.13275891,-16.14928454,26.71822868
101,14,0.36696092,-13.41242741,-14.17447381,32.71588349
102,16,0.36829822,-12.6990644,-9.19207574,35.91486382
103,36,0.22635185,-10.23971056,-4.36848323,35.0295584
104,111,0.1595548,-7.30102987,-1.76634402,31.84740316
105,176,0.20368403,-4.92601162,-1.05176175,28.24148196
106,80,0.42322544,-3.43050567,-1.27242071,24.92898251
107,26,0.31528617,-2.70186432,-1.87053024,22.03436265
108,14,0.3953527,-2.54285432,-2.68920783,19.55743796
109,13,0.27123708,-2.82386418,-3.78897859,17.5173803
110,20,0.26399037,-3.51539845,-5.33647669,16.00184481
111,60,0.4373981,-4.6774055,-7.54614848,15.23323135
112,163,0.39154741,-6.42459003,-10.57641291,15.68428823
113,140,0.20953247,-8.82432154,-14.20360207,18.17737618
114,45,0.26971347,-11.62402367,-17.12211097,23.54499771
115,18,0.29441714,-13.84066504,-16.6829153,31.0050273
116,12,0.22541129,-13.98689748,-11.59853705,36.63564394
117,14,0.1473537,-11.64233427,-5.16412399,37.09305059
118,30,0.37354553,-8.14896403,-1.18985049,33.84159016
119,98,0.29781572,-5.06705555,0.1167925,29.74137266
120,185,0.1698246,-3.00590719,0.10632014,25.99742834
121,93,0.26628147,-1.86540847,-0.30658775,22.7605088
122,28,0.35721848,-1.35676114,-0.79542728,19.95888764
123,14,0.22724186,-1.248815,-1.33262381,17.53063936
124,12,0.16795156,-1.41970919,-2.00850102,15.44504037
125,17,0.2469201,-1.84424618,-2.97124443,13.70530776
126,46,0.29209439,-2.57758814,-4.42847601,12.37433082
127,145,0.22882612,-3.75074334,-6.6632485,11.64587893
128,167,0.35758554,-5.56594302,-9.99407064,12.00221642
129,58,0.27564203,-8.23366025,-14.47623524,14.46950715
130,19,0.19616689,-11.68348499,-18.91509932,20.58245114
131,11,0.48292066,-14.86718309,-19.58193105,30.42672024
132,12,0.2566028,-15.55266468,-13.22438731,38.81955716
133,21,0.2642539,-12.67749543,-4.25023836,39.76113986
134,68,0.34789601,-8.09839937,0.99396122,35.45472151
135,183,0.42969434,-4.12459419,2.45830726,30.50580778
136,132,0.18902245,-1.52051941,2.42999034,26.38469753
137,38,0.46445783,-0.01736232,2.22074827,23.01657589
138,15,0.3155393,0.86012674,2.26919356,20.19219543
139,11,0.19543568,1.48914954,2.68943475,17.80944803
140,13,0.14795404,2.12751063,3.55003982,15.84985154
141,26,0.29301595,2.96895143,4.97761122,14.37736255
142,93,0.40483916,4.19802984,7.17725226,13.59735459
143,202,0.16820966,6.01381479,10.35911914,13.99217977
144,100,0.30456332,8.56893767,14.40769758,16.4946056
145,27,0.18599877,11.69338224,18.02091344,22.26729335
146,12,0.42369071,14.35186425,18.01029442,30.85631061
147,10,0.20864357,14.71422365,12.28676577,37.69315882
148,13,0.27959118,12.10544924,4.71589486,38.33047789
149,30,0.20043755,8.11138015,0.17435734,34.59174793
150,114,0.47430137,4.61996351,-1.20834182,30.08246351
151,206,0.22537073,2.30798162,-1.19275437,26.13103268
152,82,0.18568586,0.99890067,-0.87677815,22.79169592
153,21,0.16347556,0.31750098,-0.64243613,19.92471997
154,11,0.33891863,-0.0364254,-0.56091563,17.43422408
155,9,0.48938291,-0.25047913,-0.62228234,15.26217783
156,10,0.22870784,-0.43414586,-0.82291599,13.36867941
157,30,0.40195694,-0.65917629,-1.19346778,11.72557847
158,120,0.40115052,-0.99098282,-1.81280124,10.31951907
159,215,0.44067422,-1.51392319,-2.82758546,9.16623618
160,77,0.28056651,-2.35688163,-4.4838923,8.35042393
161,20,0.21148257,-3.72227282,-7.15868286,8.13016049
162,10,0.15115111,-5.90339081,-11.30542604,9.18685395
163,8,0.56918585,-9.1995229,-16.9589198,13.06132737
164,9,0.63128482,-13.4250262,-21.98447305,22.00064514
165,21,0.37632301,-16.74967746,-20.35260409,34.97589277
166,95,0.30424064,-16.05643843,-9.77430908,42.69101313
167,234,0.3167188,-11.28505311,0.24856935,40.23341889
168,99,0.4183578,-5.74635076,4.15394432,34.2350791
169,22,0.49014554,-1.68757969,4.65587613,29.22005958
170,9,0.40540589,0.76322959,4.45644288,25.50257807
171,8,0.32274267,2.21941361,4.56170433,22.64760489
172,7,0.47663554,3.26053599,5.22736744,20.45237792
173,9,0.24377118,4.2866121,6.51875426,18.9357299
