panel,task,series,metric,value
4b,Santa Fe,Previous Best,NMSE,0.029
4b,Santa Fe,Single-Lattice,NMSE,0.0325
4b,Santa Fe,Multi-Lattice (Fused),NMSE,0.0252
4b,NARMA10,Previous Best,NMSE,0.107
4b,NARMA10,Single-Lattice,NMSE,0.1099
4b,NARMA10,Multi-Lattice (Fused),NMSE,0.0983
4b,Lorenz63,Previous Best,NMSE,0.0143
4b,Lorenz63,Single-Lattice,NMSE,0.0379
4b,Lorenz63,Multi-Lattice (Fused),NMSE,0.0184
4c,Santa Fe,Single-Lattice,effective_rank,33.97
4c,Santa Fe,Multi-Lattice (Fused),effective_rank,109.85
4c,NARMA10,Single-Lattice,effective_rank,49.61
4c,NARMA10,Multi-Lattice (Fused),effective_rank,107.99
4c,Lorenz63,Single-Lattice,effective_rank,46.04
4c,Lorenz63,Multi-Lattice (Fused),effective_rank,103.16
4d,Santa Fe,Single-Lattice,mean_abs_pairwise_feature_correlation,0.3367
4d,Santa Fe,Multi-Lattice (Fused),mean_abs_pairwise_feature_correlation,0.2288
4d,NARMA10,Single-Lattice,mean_abs_pairwise_feature_correlation,0.1058
4d,NARMA10,Multi-Lattice (Fused),mean_abs_pairwise_feature_correlation,0.1108
4d,Lorenz63,Single-Lattice,mean_abs_pairwise_feature_correlation,0.2158
4d,Lorenz63,Multi-Lattice (Fused),mean_abs_pairwise_feature_correlation,0.2629
