panel,matrix,sample_index,feature_channel,z_score_value
Supplementary Fig. 3,Lattice config 1,1,1,-0.768216714576321
Supplementary Fig. 3,Lattice config 1,2,1,-0.725790458945831
Supplementary Fig. 3,Lattice config 1,3,1,-0.534872308608626
Supplementary Fig. 3,Lattice config 1,4,1,-0.428806669532401
Supplementary Fig. 3,Lattice config 1,5,1,0.928833510643278
Supplementary Fig. 3,Lattice config 1,6,1,2.45617871334092
Supplementary Fig. 3,Lattice config 1,7,1,1.09853853316524
Supplementary Fig. 3,Lattice config 1,8,1,1.09853853316524
Supplementary Fig. 3,Lattice config 1,9,1,-0.428806669532401
Supplementary Fig. 3,Lattice config 1,10,1,-0.683364203315341
Supplementary Fig. 3,Lattice config 1,11,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,12,1,-0.778823278483944
Supplementary Fig. 3,Lattice config 1,13,1,-0.895495481467791
Supplementary Fig. 3,Lattice config 1,14,1,-0.768216714576321
Supplementary Fig. 3,Lattice config 1,15,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,16,1,-0.725790458945831
Supplementary Fig. 3,Lattice config 1,17,1,-0.640937947684851
Supplementary Fig. 3,Lattice config 1,18,1,-0.683364203315341
Supplementary Fig. 3,Lattice config 1,19,1,-0.237888519195196
Supplementary Fig. 3,Lattice config 1,20,1,0.207587164924949
Supplementary Fig. 3,Lattice config 1,21,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,22,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,23,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,24,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,25,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,26,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,27,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,28,1,-0.853069225837301
Supplementary Fig. 3,Lattice config 1,29,1,-0.77427760823782
Supplementary Fig. 3,Lattice config 1,30,1,-0.874282353652546
Supplementary Fig. 3,Lattice config 1,31,1,-0.853069225837301
Supplementary Fig. 3,Lattice config 1,32,1,-0.768216714576321
Supplementary Fig. 3,Lattice config 1,33,1,-0.861554476963399
Supplementary Fig. 3,Lattice config 1,34,1,-0.874282353652546
Supplementary Fig. 3,Lattice config 1,35,1,-0.725790458945831
Supplementary Fig. 3,Lattice config 1,36,1,-0.428806669532401
Supplementary Fig. 3,Lattice config 1,37,1,0.557603773876491
Supplementary Fig. 3,Lattice config 1,38,1,1.89403082623693
Supplementary Fig. 3,Lattice config 1,39,1,3.21985131468974
Supplementary Fig. 3,Lattice config 1,40,1,0.780341615936563
Supplementary Fig. 3,Lattice config 1,41,1,-0.377895162775813
Supplementary Fig. 3,Lattice config 1,42,1,-0.556085436423871
Supplementary Fig. 3,Lattice config 1,43,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,44,1,-0.640937947684851
Supplementary Fig. 3,Lattice config 1,45,1,-0.756094927253324
Supplementary Fig. 3,Lattice config 1,46,1,-0.853069225837301
Supplementary Fig. 3,Lattice config 1,47,1,-0.768216714576321
Supplementary Fig. 3,Lattice config 1,48,1,-0.711648373735668
Supplementary Fig. 3,Lattice config 1,49,1,-0.505173929667283
Supplementary Fig. 3,Lattice config 1,50,1,-0.301527902640931
Supplementary Fig. 3,Lattice config 1,51,1,0.589423465599358
Supplementary Fig. 3,Lattice config 1,52,1,1.41673545039391
Supplementary Fig. 3,Lattice config 1,53,1,1.42582679088616
Supplementary Fig. 3,Lattice config 1,54,1,0.780341615936563
Supplementary Fig. 3,Lattice config 1,55,1,0.780341615936563
Supplementary Fig. 3,Lattice config 1,56,1,0.780341615936563
Supplementary Fig. 3,Lattice config 1,57,1,-0.683364203315341
Supplementary Fig. 3,Lattice config 1,58,1,-0.768216714576321
Supplementary Fig. 3,Lattice config 1,59,1,-0.77427760823782
Supplementary Fig. 3,Lattice config 1,60,1,-0.853069225837301
Supplementary Fig. 3,Lattice config 1,61,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,62,1,-0.768216714576321
Supplementary Fig. 3,Lattice config 1,63,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,64,1,-0.556085436423871
Supplementary Fig. 3,Lattice config 1,65,1,-0.174249135749461
Supplementary Fig. 3,Lattice config 1,66,1,0.377292187446909
Supplementary Fig. 3,Lattice config 1,67,1,1.60765360073112
Supplementary Fig. 3,Lattice config 1,68,1,1.60765360073112
Supplementary Fig. 3,Lattice config 1,69,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,70,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,71,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,72,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,73,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,74,1,1.48037483383965
Supplementary Fig. 3,Lattice config 1,75,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,76,1,-0.683364203315341
Supplementary Fig. 3,Lattice config 1,77,1,-0.937921737098281
Supplementary Fig. 3,Lattice config 1,78,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,79,1,-0.895495481467791
Supplementary Fig. 3,Lattice config 1,80,1,-0.887010230341693
Supplementary Fig. 3,Lattice config 1,81,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,82,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,83,1,-0.670636326626194
Supplementary Fig. 3,Lattice config 1,84,1,-0.0469703688579914
Supplementary Fig. 3,Lattice config 1,85,1,0.518713039548542
Supplementary Fig. 3,Lattice config 1,86,1,2.20162117955798
Supplementary Fig. 3,Lattice config 1,87,1,2.72770674937605
Supplementary Fig. 3,Lattice config 1,88,1,0.643971508552845
Supplementary Fig. 3,Lattice config 1,89,1,-0.598511692054361
Supplementary Fig. 3,Lattice config 1,90,1,-0.725790458945831
Supplementary Fig. 3,Lattice config 1,91,1,-0.63563466573104
Supplementary Fig. 3,Lattice config 1,92,1,-0.697506288525504
Supplementary Fig. 3,Lattice config 1,93,1,-0.734275710071929
Supplementary Fig. 3,Lattice config 1,94,1,-0.789429842391566
Supplementary Fig. 3,Lattice config 1,95,1,-0.634410831434006
Supplementary Fig. 3,Lattice config 1,96,1,-0.471232925162891
Supplementary Fig. 3,Lattice config 1,97,1,-0.352439409397519
Supplementary Fig. 3,Lattice config 1,98,1,0.377292187446908
Supplementary Fig. 3,Lattice config 1,99,1,0.936547375303367
Supplementary Fig. 3,Lattice config 1,100,1,0.780341615936563
Supplementary Fig. 3,Lattice config 1,101,1,0.236959188053749
Supplementary Fig. 3,Lattice config 1,102,1,-0.336240293611332
Supplementary Fig. 3,Lattice config 1,103,1,-0.587905128146739
Supplementary Fig. 3,Lattice config 1,104,1,-0.794733124345377
Supplementary Fig. 3,Lattice config 1,105,1,-0.778823278483944
Supplementary Fig. 3,Lattice config 1,106,1,-0.662151075500096
Supplementary Fig. 3,Lattice config 1,107,1,-0.75189892394921
Supplementary Fig. 3,Lattice config 1,108,1,-0.734275710071929
Supplementary Fig. 3,Lattice config 1,109,1,-0.768216714576321
Supplementary Fig. 3,Lattice config 1,110,1,-0.352439409397519
Supplementary Fig. 3,Lattice config 1,111,1,-0.0724261222362854
Supplementary Fig. 3,Lattice config 1,112,1,0.525784082153623
Supplementary Fig. 3,Lattice config 1,113,1,0.987169612135202
Supplementary Fig. 3,Lattice config 1,114,1,1.06671884144237
Supplementary Fig. 3,Lattice config 1,115,1,-0.0978818756145793
Supplementary Fig. 3,Lattice config 1,116,1,-0.492446052978136
Supplementary Fig. 3,Lattice config 1,117,1,-0.778823278483944
Supplementary Fig. 3,Lattice config 1,118,1,-0.734275710071929
Supplementary Fig. 3,Lattice config 1,119,1,-0.810642970206811
Supplementary Fig. 3,Lattice config 1,120,1,-0.683364203315341
Supplementary Fig. 3,Lattice config 1,1,2,-0.846605889726514
Supplementary Fig. 3,Lattice config 1,2,2,-0.754038464882576
Supplementary Fig. 3,Lattice config 1,3,2,-0.383768765506826
Supplementary Fig. 3,Lattice config 1,4,2,0.12535207113483
Supplementary Fig. 3,Lattice config 1,5,2,1.32872859410602
Supplementary Fig. 3,Lattice config 1,6,2,2.80980739160902
Supplementary Fig. 3,Lattice config 1,7,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,8,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,9,2,-0.430052477928795
Supplementary Fig. 3,Lattice config 1,10,2,-0.430052477928795
Supplementary Fig. 3,Lattice config 1,11,2,-0.846605889726514
Supplementary Fig. 3,Lattice config 1,12,2,-0.88131867404299
Supplementary Fig. 3,Lattice config 1,13,2,-0.846605889726514
Supplementary Fig. 3,Lattice config 1,14,2,-0.846605889726514
Supplementary Fig. 3,Lattice config 1,15,2,-0.76329520736697
Supplementary Fig. 3,Lattice config 1,16,2,-0.754038464882576
Supplementary Fig. 3,Lattice config 1,17,2,-0.638329183827654
Supplementary Fig. 3,Lattice config 1,18,2,-0.499478046561748
Supplementary Fig. 3,Lattice config 1,19,2,-0.256488556346412
Supplementary Fig. 3,Lattice config 1,20,2,0.194777639767783
Supplementary Fig. 3,Lattice config 1,21,2,1.99984242422456
Supplementary Fig. 3,Lattice config 1,22,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,23,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,24,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,25,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,26,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,27,2,1.37501230652799
Supplementary Fig. 3,Lattice config 1,28,2,-0.892889602148482
Supplementary Fig. 3,Lattice config 1,29,2,-0.98545702699242
