Task,Configuration,Index,CumulativeSpectralEnergy
Santa Fe,Single-lattice,1,0.289648755807574
Santa Fe,Single-lattice,2,0.541615177895015
Santa Fe,Single-lattice,3,0.632364859575428
Santa Fe,Single-lattice,4,0.697076477632063
Santa Fe,Single-lattice,5,0.752456775287037
Santa Fe,Single-lattice,6,0.790019690002025
Santa Fe,Single-lattice,7,0.822484096259793
Santa Fe,Single-lattice,8,0.849700188249711
Santa Fe,Single-lattice,9,0.869712136740377
Santa Fe,Single-lattice,10,0.885755346292741
Santa Fe,Single-lattice,11,0.900956680858955
Santa Fe,Single-lattice,12,0.911675772446383
Santa Fe,Single-lattice,13,0.920709319079365
Santa Fe,Single-lattice,14,0.928959985118531
Santa Fe,Single-lattice,15,0.936392556365513
Santa Fe,Single-lattice,16,0.942527165345674
Santa Fe,Single-lattice,17,0.948119767237346
Santa Fe,Single-lattice,18,0.953273612884002
Santa Fe,Single-lattice,19,0.958075863756402
Santa Fe,Single-lattice,20,0.962334844957188
Santa Fe,Single-lattice,21,0.966184109768715
Santa Fe,Single-lattice,22,0.969429575024685
Santa Fe,Single-lattice,23,0.972292013283609
Santa Fe,Single-lattice,24,0.974831082468832
Santa Fe,Single-lattice,25,0.977061306844159
Santa Fe,Single-lattice,26,0.979183257932737
Santa Fe,Single-lattice,27,0.981248315583302
Santa Fe,Single-lattice,28,0.983063330895256
Santa Fe,Single-lattice,29,0.984794838818958
Santa Fe,Single-lattice,30,0.986195010357726
Santa Fe,Single-lattice,31,0.987478759278663
Santa Fe,Single-lattice,32,0.988587819340831
Santa Fe,Single-lattice,33,0.989649192246387
Santa Fe,Single-lattice,34,0.990588241136263
Santa Fe,Single-lattice,35,0.991460551182945
Santa Fe,Single-lattice,36,0.992262221090475
Santa Fe,Single-lattice,37,0.992994955047044
Santa Fe,Single-lattice,38,0.993676590775211
Santa Fe,Single-lattice,39,0.994319857808903
Santa Fe,Single-lattice,40,0.994951087121352
Santa Fe,Single-lattice,41,0.995475795172805
Santa Fe,Single-lattice,42,0.995957966694671
Santa Fe,Single-lattice,43,0.996413501883198
Santa Fe,Single-lattice,44,0.996808730043917
Santa Fe,Single-lattice,45,0.997199237071158
Santa Fe,Single-lattice,46,0.997544558419057
Santa Fe,Single-lattice,47,0.997853703932875
Santa Fe,Single-lattice,48,0.99810230245205
Santa Fe,Single-lattice,49,0.998336167296593
Santa Fe,Single-lattice,50,0.998543971809271
Santa Fe,Single-lattice,51,0.998720345591
Santa Fe,Single-lattice,52,0.998883005012593
Santa Fe,Single-lattice,53,0.999024142416913
Santa Fe,Single-lattice,54,0.999156991574831
Santa Fe,Single-lattice,55,0.999279414813644
Santa Fe,Single-lattice,56,0.999387457829305
Santa Fe,Single-lattice,57,0.999490172689901
Santa Fe,Single-lattice,58,0.999575347132759
Santa Fe,Single-lattice,59,0.999657923903552
Santa Fe,Single-lattice,60,0.999732203087418
Santa Fe,Single-lattice,61,0.999800416790179
Santa Fe,Single-lattice,62,0.999859315866549
Santa Fe,Single-lattice,63,0.999902009728717
Santa Fe,Single-lattice,64,0.99994049602533
Santa Fe,Single-lattice,65,0.999971652659425
